kanaele;filterpapier;zeit_filterpapier;co60;zeit_co60;ba133;zeit_ba133;background;zeit_background
704;953;;150;;101;;4708;
705;851;;164;;103;;4593;
706;749;;153;;99;;4184;
707;680;;132;;92;;3712;
708;629;;165;;103;;3276;
709;634;;167;;106;;3035;
710;611;;148;;131;;2875;
711;597;;144;;149;;2915;
712;558;;120;;239;;2842;
713;561;;134;;408;;2765;
714;537;;135;;667;;2883;
715;558;;148;;1006;;2768;
716;578;;148;;1320;;2714;
717;557;;143;;1554;;2621;
718;555;;146;;1608;;2610;
719;547;;132;;1512;;2689;
720;544;;139;;1188;;2652;
721;562;;138;;839;;2677;
722;542;;142;;548;;2678;
723;544;;134;;337;;2639;
724;563;;135;;211;;2640;
725;568;;137;;146;;2705;
726;571;;142;;119;;2747;
727;550;;143;;97;;2680;
728;534;;147;;92;;2559;
729;536;;138;;91;;2622;
730;540;;133;;85;;2661;
731;552;;117;;71;;2593;
732;544;;156;;84;;2632;
733;582;;144;;89;;2663;
734;553;;113;;69;;2587;
735;510;;138;;76;;2619;
736;568;;157;;73;;2630;
737;578;;133;;85;;2623;
738;554;;123;;79;;2641;
739;531;;117;;75;;2625;
740;531;;135;;69;;2601;
741;562;;152;;73;;2622;
742;542;;146;;69;;2625;
743;541;;149;;70;;2609;
744;532;;130;;67;;2587;
745;550;;125;;70;;2536;
746;575;;131;;74;;2546;
747;529;;139;;82;;2566;
748;528;;137;;83;;2652;
749;552;;149;;73;;2651;
750;539;;150;;76;;2596;
751;558;;127;;83;;2627;
752;559;;142;;58;;2593;
753;581;;140;;60;;2686;
754;562;;146;;63;;2682;
755;587;;138;;70;;2664;
756;559;;123;;83;;2689;
757;556;;137;;78;;2670;
758;565;;146;;78;;2605;
759;538;;146;;72;;2586;
760;565;;145;;81;;2618;
761;559;;142;;86;;2654;
762;567;;132;;77;;2509;
763;562;;129;;73;;2530;
764;547;;126;;70;;2608;
765;582;;133;;66;;2590;
766;597;;137;;65;;2624;
767;586;;143;;72;;2606;
768;613;;143;;72;;2708;
769;622;;142;;80;;2844;
770;594;;145;;74;;2931;
771;608;;144;;80;;3026;
772;554;;147;;81;;3054;
773;515;;131;;83;;2950;
774;554;;142;;78;;2748;
775;508;;161;;67;;2619;
776;493;;146;;81;;2573;
777;495;;135;;84;;2458;
778;529;;140;;87;;2448;
779;496;;151;;91;;2395;
780;482;;142;;87;;2338;
781;507;;132;;80;;2340;
782;512;;130;;74;;2353;
783;519;;133;;78;;2404;
784;545;;137;;86;;2477;
785;585;;140;;88;;2453;
786;705;;128;;80;;2565;
787;899;;132;;89;;2862;
788;1128;;140;;89;;3395;
789;1378;;148;;96;;4106;
790;1604;;144;;121;;4982;
791;1625;;136;;124;;5936;
792;1448;;144;;145;;6442;
793;1141;;171;;211;;6347;
794;926;;162;;366;;5685;
795;687;;169;;630;;4677;
796;584;;169;;1184;;3665;
797;501;;157;;2006;;2937;
798;442;;141;;2992;;2509;
799;456;;128;;4067;;2213;
